label,text
spam,Win a free iPhone now! Click the link to claim your prize.
ham,Hi team, can we reschedule the meeting to tomorrow?
spam,Congratulations! You have been selected for a $1000 gift card.
ham,Please find the attached report for Q2 results.
spam,Limited offer!!! Buy one get one free, only today.
ham,Thanks for your help with the project.
spam,You have won a lottery. Send your bank details.
ham,Let's grab lunch next week.
spam,Act now to lower your mortgage rates.
ham,Your subscription has been renewed successfully.
